	DocID,IntClass,BinClass,MatchingTopicID,MatchingTopicScore,RawTopicScores
	1,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	2,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	3,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	4,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	5,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	6,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	7,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	8,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	9,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	10,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	11,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	12,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	13,1,0,0,-5.055804640668759,[(0, -5.055804640668759)]
	14,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	15,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	16,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	17,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	18,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	19,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	20,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	21,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	22,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	23,5,0,0,-3.35809942690904,[(0, -3.35809942690904)]
	24,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	25,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	26,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	27,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	28,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	29,1,0,0,-2.886843500610613,[(0, -2.886843500610613)]
	30,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	31,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	32,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	33,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	34,5,0,0,-1.8753716149998612,[(0, -1.8753716149998612)]
	35,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	36,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	37,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	38,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	39,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	40,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	41,5,0,0,-4.494261301662112,[(0, -4.494261301662112)]
	42,5,0,0,-3.5099534928032625,[(0, -3.5099534928032625)]
	43,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	44,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	45,5,0,0,-4.836255752802501,[(0, -4.836255752802501)]
	46,5,0,0,-3.4467076194743966,[(0, -3.4467076194743966)]
	47,5,0,0,-3.665553024604694,[(0, -3.665553024604694)]
	48,5,0,0,-1.2626037497430191,[(0, -1.2626037497430191)]
	49,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	50,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	51,5,0,0,-2.5070658911555226,[(0, -2.5070658911555226)]
	52,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	53,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	54,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	55,5,0,0,-5.780001327588485,[(0, -5.780001327588485)]
	56,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	57,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	58,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	59,9,1,0,-3.1757671740578832,[(0, -3.1757671740578832)]
	60,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	61,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	62,5,0,0,-3.0148668537941186,[(0, -3.0148668537941186)]
	63,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	64,5,0,0,-4.862872656221589,[(0, -4.862872656221589)]
	65,1,0,0,-3.4754712218195567,[(0, -3.4754712218195567)]
	66,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	67,5,0,0,-2.8041044901818424,[(0, -2.8041044901818424)]
	68,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	69,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	70,9,1,0,-4.4706554152977525,[(0, -4.4706554152977525)]
	71,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	72,1,0,0,-3.831317779862224,[(0, -3.831317779862224)]
	73,9,1,0,-2.2537583656276516,[(0, -2.2537583656276516)]
	74,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	75,5,0,0,-2.3214566380910013,[(0, -2.3214566380910013)]
	76,5,0,0,-4.621525883862631,[(0, -4.621525883862631)]
	77,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	78,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	79,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	80,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	81,1,0,0,-1.7776887582066623,[(0, -1.7776887582066623)]
	82,9,1,0,-8.310722016184734,[(0, -8.310722016184734)]
	83,9,1,0,-2.5831221815490046,[(0, -2.5831221815490046)]
	84,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	85,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	86,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
	87,0,0,0,-1.4416906499938766e-08,[(0, -1.4416906499938766e-08)]
