,word,x,y
0,null,10.850284576416016,56.24286651611328
1,industrial,-18.15166473388672,-17.475130081176758
2,dynamic,-7.5542707443237305,-17.63324737548828
3,performance,-10.771087646484375,-20.254728317260742
4,accuracy,-1.3460451364517212,-21.636959075927734
5,high,-28.799972534179688,-9.851507186889648
6,speeds,32.1171989440918,5.475563049316406
7,controller,-1.5425771474838257,-20.548236846923828
8,essential,33.11075210571289,-1.9201221466064453
9,robot,-16.890817642211914,-11.339361190795898
10,dynamics,-10.964788436889648,-19.488279342651367
11,servo,5.390598773956299,53.247371673583984
12,rate,4.840762138366699,14.09900951385498
13,ensure,21.819839477539062,14.536168098449707
14,system,-12.37115478515625,-14.584704399108887
15,stability,1.0880126953125,-21.11475372314453
16,real,2.4628515243530273,-20.18574333190918
17,developed,-18.00112533569336,-14.699498176574707
18,neural,11.773802757263184,-24.698572158813477
19,networks,3.1350955963134766,-25.062442779541016
20,efficient,-34.6298713684082,-3.617701768875122
21,hidden,1.8208152055740356,51.258056640625
22,layer,-8.371380805969238,19.98496437072754
23,architecture,-28.735761642456055,-8.354691505432129
24,localized,-0.6000333428382874,50.25189971923828
25,learning,-30.75185203552246,-9.024223327636719
26,control,-24.879343032836914,-11.392292976379395
27,enhanced,30.428436279296875,9.472908973693848
28,mapping,-5.334609031677246,-21.230504989624023
29,second,-6.597603797912598,-16.882673263549805
30,network,11.089027404785156,-24.73467445373535
31,tuned,-10.060824394226074,41.74193572998047
32,design,-27.71078872680664,-7.2004804611206055
33,reduced,32.591697692871094,6.302002906799316
34,sensing,-33.41508865356445,-1.5278000831604004
35,requirements,15.026474952697754,-22.442289352416992
36,enhances,9.569046020507812,54.96636199951172
37,experimental,-11.905702590942383,-18.735694885253906
38,results,-12.171120643615723,-19.75275421142578
39,demonstrate,-0.21680767834186554,-21.277149200439453
40,excellent,-5.71450662612915,46.83094787597656
41,compared,-0.5056117177009583,-21.122379302978516
42,conventional,-10.991277694702148,23.435426712036133
43,potential,-13.579134941101074,-17.580575942993164
44,practical,-11.760769844055176,40.262332916259766
45,robots,-25.758995056152344,-10.692398071289062
46,proposes,-11.161436080932617,39.72977066040039
47,self,-0.48245343565940857,-19.922597885131836
48,organizing,2.414229393005371,-21.680334091186523
49,inspired,-7.942773818969727,-21.366140365600586
50,mobile,-10.96643352508545,-14.563770294189453
51,uses,4.167900085449219,-22.695524215698242
52,activity,19.326202392578125,-19.396385192871094
53,patterns,0.3776389956474304,-20.60108757019043
54,visual,13.453503608703613,-21.17349624633789
55,sensors,9.665976524353027,-20.573312759399414
56,determine,-4.661491394042969,-18.79201889038086
57,motor,-9.464077949523926,-21.034564971923828
58,commands,21.282123565673828,-18.628080368041992
59,whereas,17.796659469604492,15.459856986999512
60,stimuli,-2.0804355144500732,-22.407062530517578
61,proprioceptive,-13.38575267791748,31.32370376586914
62,decision,14.158827781677246,14.53812313079834
63,following,12.207748413085938,-22.44297981262207
64,feedback,-7.5020012855529785,-20.030780792236328
65,sensory,0.7128793597221375,-24.88583755493164
66,biological,-5.632221698760986,-18.150651931762695
67,systems,-14.221979141235352,-19.88077163696289
68,neglected,4.396576404571533,52.42259979248047
69,components,-30.556312561035156,-3.4405572414398193
70,different,-11.702783584594727,-15.49813175201416
71,modalities,-10.942794799804688,20.45022201538086
72,used,-6.956888198852539,-18.601911544799805
73,camera,-8.073028564453125,19.52894401550293
74,experiments,4.46505880355835,-22.20351219177246
75,show,-21.352691650390625,-12.59996509552002
76,sensor,18.541240692138672,-20.62504768371582
77,adapt,-8.247742652893066,-18.554452896118164
78,environments,-10.845250129699707,-18.68842887878418
79,robust,-23.46015167236328,-11.465409278869629
80,behavior,2.0115036964416504,-25.077259063720703
81,example,-6.303718566894531,-19.540184020996094
82,failures,15.228833198547363,14.827434539794922
83,evolution,0.16310180723667145,-22.655683517456055
84,simulated,-11.09675121307373,-20.171274185180664
85,architectures,-22.751190185546875,-15.372288703918457
86,studied,32.92930221557617,-4.606843948364258
87,article,-21.29254722595215,-14.079051971435547
88,hardwired,-8.293451309204102,44.733646392822266
89,modular,-13.837041854858398,-20.53252601623535
90,duplication,-13.56618881225586,32.07135009765625
91,conclude,12.404324531555176,14.993575096130371
92,non,-27.708269119262695,-8.142844200134277
93,terms,31.213804244995117,-9.627904891967773
94,adaptation,-8.821977615356445,-19.03417205810547
95,level,-12.219192504882812,-21.057146072387695
96,achieved,32.992225646972656,-8.42844009399414
97,main,-12.652486801147461,24.02264976501465
98,modules,-2.429563522338867,-24.010896682739258
99,much,32.75624084472656,4.928369045257568
100,higher,-4.519236087799072,-23.516326904296875
101,degree,13.15865707397461,-21.76030731201172
102,functional,-13.42159652709961,-14.135025024414062
103,specialization,15.172375679016113,14.946277618408203
104,units,1.6808218955993652,-23.08224868774414
105,regard,-5.507735252380371,46.37689971923828
106,behavioral,-5.30086612701416,-19.886747360229492
107,functions,-21.80073356628418,-12.671360969543457
108,reach,-13.418871879577637,-16.258169174194336
109,distributed,-21.280275344848633,-12.765624046325684
110,assignment,0.16825568675994873,-23.82560157775879
111,tasks,-10.53203296661377,-15.417216300964355
112,mechanism,-26.00577163696289,-8.193384170532227
113,similar,-31.504831314086914,-4.594988822937012
114,found,-25.341751098632812,-9.346603393554688
115,leads,-8.792388916015625,44.200443267822266
116,change,8.75854206085205,15.279151916503906
117,module,-34.759037017822266,-2.2877964973449707
118,context,-12.930688858032227,-16.086528778076172
119,adapts,-11.556530952453613,23.64217758178711
120,step,-35.27238082885742,-1.6573199033737183
121,specialized,13.111659049987793,15.523646354675293
